pers,saddleIdx,merged,parent
0.00606441,1785,59,9152
0.144492,7158,468,9152
0.0433064,7225,727,9152
0.0291281,6613,750,2186
0.0196314,4083,788,6658
0.0125465,1351,1312,9152
3.56578,6325,1892,9152
0.0162983,4137,2045,9152
0.0353451,4060,2179,6663
0.0694838,8880,2186,6663
0.0597754,4891,2293,9152
0.0673151,8293,2616,9152
0.0215597,6541,3983,9650
0.045928,5172,4004,9099
0.0918245,774,4031,9152
0.0120354,7230,4098,6663
0.0321388,8826,5441,9150
0.0560446,9502,6334,9152
0.0231485,5194,6606,9152
0.0152283,4756,6616,2186
0.0197763,5194,6639,9152
0.0426884,5459,6658,2186
0.208117,4025,6663,9152
0.0504646,6491,7699,9152
0.0575285,1051,8068,2186
0.0121574,7486,8173,9152
0.030282,7203,8273,9152
3.77252,8733,8775,9152
0.0500803,759,8804,9117
0.130322,8808,8807,9152
0.0321798,6651,8874,6663
0.12361,5147,8890,9152
0.0822468,7897,9099,9152
0.0052166,5431,9116,6663
0.110082,6632,9117,9152
0.0495253,4741,9150,9152
0.0696659,6641,9167,9152
2.89873,9155,9178,9152
0.0173712,6853,9269,9152
0.0641727,3567,9512,4031
2.93796,6143,9518,9152
4.09985,3338,9646,9152
0.0537577,3345,9650,6663
